Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
09-02-2021,23:35,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
09-02-2021,00:15,-,canvas,2021,Canvaslus,-,-,-,Serie,-
09-02-2021,01:30,-,vtm,-,Qmusic,-,-,-,-,-
09-02-2021,05:00,-,vier,-,Geen uitzending,-,-,-,Serie,-
09-02-2021,06:00,-,vtm,2017,Brandweerman Sam,1,13, Tekenfilm,Jeugdprogramma,11
09-02-2021,06:10,-,vtm,2014,De Proefknuffels,27,30,-,Jeugdprogramma,1
09-02-2021,06:20,-,vtm,2009,TiTaToverfeest,53,250, Jeugdreeks,Jeugdprogramma,1
09-02-2021,06:35,-,vtm,2009,TiTaToverfeest,54,250, Jeugdreeks,Jeugdprogramma,1
09-02-2021,06:50,-,vtm,1998,Kabouter plop,27,107, Kleuterprogramma,Jeugdprogramma,1998
09-02-2021,07:00,-,vtm,2017,De Avonturen van de Gelaarsde Kat,1,13, Tekenfilm,Jeugdprogramma,3
09-02-2021,07:20,-,vtm,2016,Lang Leve Koning Julien,1,26, Tekenfilm,Jeugdprogramma,3
09-02-2021,07:45,-,vtm,2018,VLOGLAB Beach #Stories,1,10, Jeugdreeks,Jeugdprogramma,1
09-02-2021,07:50,-,vtm,2018,De Buurtpolitie - Extra,11,24, Reality-show,Serie,2
09-02-2021,08:10,-,vtm,2018,De Buurtpolitie - Extra,12,24, Reality-show,Serie,2
09-02-2021,08:20,-,vtm,2019,Wakandy,27,28,-,Show,2
09-02-2021,08:35,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,27,48, Tekenfilm,Jeugdprogramma,21
09-02-2021,08:55,-,vtm,2016,Draken: Race Naar de Rand,1,13, Tekenfilm,Jeugdprogramma,2
09-02-2021,08:25,-,vier,2010,Roger van Damme: Desserts,24,30, Culinair Magazine,Serie,1
09-02-2021,08:40,-,vier,2016,De gezonde goesting,7,8, Culinair Magazine,Serie,1
09-02-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
09-02-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
09-02-2021,09:20,-,vtm,2020,Lego Ninjago,21,32, Tekenfilm,Jeugdprogramma,2
09-02-2021,09:30,-,vtm,2020,Lego Ninjago,22,32, Tekenfilm,Jeugdprogramma,2
09-02-2021,09:40,-,vtm,2019,Loïc: Zot van Koken,61,65, Culinair Magazine,Serie,1
09-02-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
09-02-2021,09:00,-,vier,2015,A la carte,12,-, Culinair Magazine,Serie,1
09-02-2021,09:25,-,vier,2020,The Block Australia,30,50,-,Spelprogramma's,16
09-02-2021,10:00,-,een,2020,Radio 2 op één,116,220,-,Serie,2020
09-02-2021,10:00,-,canvas,2021,Ketnet Junior,40,365, Kleuterprogramma,Jeugdprogramma,2021
09-02-2021,10:25,-,vier,-,Geen uitzending,-,-,-,Serie,-
09-02-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
09-02-2021,12:20,-,een,-,Dagelijkse Kost,2724,240, Culinair Magazine,Serie,11
09-02-2021,12:35,-,een,2020,Blokken,5598,205, Spelshow,Serie,2020
09-02-2021,12:00,-,vtm,2018,Echte Verhalen: De Buurtpolitie,36,70, Reality-show,Serie,10
09-02-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Issam Dakka (Mikhel), Femke Verschueren (Zoë)",vtm,2021,Lisa,11,205, Romantische Serie,Reeks,1
09-02-2021,12:30,-,vier,2015,Komen Eten,21,-, Culinair Magazine,Serie,14
09-02-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-02-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-02-2021,13:30,-,een,2020,Iedereen beroemd,139,246,-,Reportage,2020
09-02-2021,13:55,-,een,2021,Extra time,5,21, Sportmagazine,Serie,2021
09-02-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-02-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
09-02-2021,13:35,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,12,223, Soap,Reeks,25
09-02-2021,13:10,-,vier,-,Geen uitzending,-,-,-,Serie,-
09-02-2021,14:20,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,26,88, Soap,Reeks,12
09-02-2021,15:00,-,een,-,Clips,1,-, Muziekclips,Serie,1
09-02-2021,15:15,"Yannick Bisson (William Murdoch), Thomas Craig (Thomas Brackenreid), Helene Joy (Julia Ogden), Jonny Harris (George Crabtree)",een,2016,Murdoch Mysteries,18,18, Misdaadserie,Reeks,10
09-02-2021,15:15,"Kate Walsh (Addison Forbes Montgomery), Audra McDonald (Naomi Bennett), Taye Diggs (Sam Bennett), Tim Daly (Pete Wilder), Amy Brenneman (Violet Turner)",vtm,2010,Private Practice,8,22, Dramaserie,Reeks,4
09-02-2021,16:00,-,een,2017,On the wing,6,8,-,Documentaire,1
09-02-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8165,-, Soap,Reeks,2020
09-02-2021,16:10,-,vtm,2016,America's Funniest Home Videos,20,44, Komische Show,Serie,28
09-02-2021,16:20,"Tim Allen (Mike Baxter), Nancy Travis (Vanessa Baxter), Amanda Fuller (Kristin Baxter), Christoph Sanders (Kyle Anderson), Molly McCook (Mandy Baxter)",vtm,2018,Last Man Standing,14,22, Komische Serie,Reeks,7
09-02-2021,16:45,"Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva)",vtm,2020,Sturm der Liebe,135,250, Soap,Reeks,16
09-02-2021,16:15,-,vier,2016,DIY (Do It Yourself),7,-, Culinair Magazine,Serie,1
09-02-2021,16:45,-,vier,2016,Sportfood,6,6,-,Magazine,1
09-02-2021,17:10,"Gene Bervoets (Peter), Huub Stapel (Dirk), Andrea Croonenberghs (Anne), Warre Borgmans (JL Hubert), Ann Ceurvels (Claudia)",een,1997,Windkracht 10,13,23, Dramaserie,Reeks,1
09-02-2021,17:45,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
09-02-2021,17:50,-,vtm,2018,Echte Verhalen: De Buurtpolitie,37,70, Reality-show,Serie,10
09-02-2021,17:10,-,vier,2013,De Wereld op je Bord,7,21, Culinair Magazine,Serie,1
09-02-2021,17:30,-,vier,2021,Dag dokter,5,-, Docusoap,Documentaire,1
09-02-2021,18:04,-,een,2021,Het journaal,-,-,-,Serie,-
09-02-2021,18:10,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
09-02-2021,18:15,-,een,-,Dagelijkse Kost,2725,240, Culinair Magazine,Serie,11
09-02-2021,18:30,-,een,2020,Blokken,5683,205, Quiz,Spelprogramma's,2020
09-02-2021,18:55,-,canvas,2021,De weekenden,10,10,-,Documentaire,2
09-02-2021,18:20,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Issam Dakka (Mikhel), Femke Verschueren (Zoë)",vtm,2021,Lisa,12,205, Romantische Serie,Reeks,1
09-02-2021,18:10,-,vier,2021,Stukken Van Mensen,2,-, Realityreeks,Reportage,6
09-02-2021,19:00,-,een,2021,Het journaal,-,-,-,Serie,-
09-02-2021,19:40,-,een,2020,Iedereen beroemd,140,246,-,Reportage,2020
09-02-2021,19:40,-,canvas,2020,De Toots Sessies,5,25, Cultuurmagazine,Serie,1
09-02-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
