Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
09-02-2021,05:30,-,club-rtl,-,Télé-achat,-,-, Homeshoppingprogramma,Informatief Programma,1
09-02-2021,06:20,Jérôme Mouscadet,club-rtl,2019,Heidi 3D,-,-, Jeugdserie,Reeks,2
09-02-2021,06:45,-,club-rtl,-,Rainbow Fish,35,-, Animatiereeks,Serie,1
09-02-2021,06:55,-,club-rtl,-,Wickie De Viking,40,78, Tekenfilm,Jeugdprogramma,1
09-02-2021,07:05,"Walter Baele (Shelby/Max), Free Souffriau (Maya), Thomas Van Goethem (Willy), Jan Van Looveren (Kurt/Paul), Eline De Munck (Ben)",club-rtl,2012,Maya!,36,78, Peuterprogramma,Jeugdprogramma,1
09-02-2021,07:15,-,club-rtl,-,Zigby,50,-, Tekenfilm,Jeugdprogramma,1
09-02-2021,07:30,-,club-rtl,-,Zigby,51,-, Tekenfilm,Jeugdprogramma,1
09-02-2021,07:45,-,club-rtl,-,"Yapaka, une vie de chien",-,-,-,Reeks,112
09-02-2021,07:50,-,club-rtl,2018,Pokémon: Zon & Maan Ultra-Avonturen,37,48, Tekenfilm,Jeugdprogramma,21
09-02-2021,08:15,-,club-rtl,-,La boutique,-,-, Homeshoppingprogramma,Informatief Programma,1
09-02-2021,09:30,-,club-rtl,-,Shopping Hours,-,-,-,Magazine,1
09-02-2021,10:45,-,club-rtl,-,La boutique,-,-, Homeshoppingprogramma,Informatief Programma,1
09-02-2021,13:45,-,club-rtl,-,Shopping Hours,-,-,-,Magazine,1
09-02-2021,15:55,"William Petersen (Gil Grissom), George Eads (Nick Stokes), Paul Guilfoyle (Jim Brass), Jorja Fox (Sara Sidle), Marg Helgenberger (Catherine Willows)",club-rtl,2006,C.S.I.: Crime Scene Investigation,23,24, Misdaadserie,Reeks,7
09-02-2021,16:45,"William Petersen (Gil Grissom), George Eads (Nick Stokes), Paul Guilfoyle (Jim Brass), Jorja Fox (Sara Sidle), Marg Helgenberger (Catherine Willows)",club-rtl,2006,C.S.I.: Crime Scene Investigation,24,24, Misdaadserie,Reeks,7
09-02-2021,17:30,"Lucas Till (Angus MacGyver), George Eads (Jack Dalton), Tristin Mays (Riley Davis), Justin Hires (Wilt Bozer)",club-rtl,2017,MacGyver (2016),19,23, Actieserie,Reeks,2
09-02-2021,18:20,"Lucas Till (Angus MacGyver), George Eads (Jack Dalton), Tristin Mays (Riley Davis), Justin Hires (Wilt Bozer)",club-rtl,2017,MacGyver (2016),20,23, Actieserie,Reeks,2
09-02-2021,19:10,"David Caruso (Horatio Caine), Emily Procter (Calleigh Duquesne), Jonathan Togo (Ryan Wolfe)",club-rtl,2010,CSI Special,4,22, Misdaadserie,Reeks,9
09-02-2021,20:00,-,club-rtl,-,Coupe de Belgique,-,-, Magazine,Sport,-
09-02-2021,20:45,-,club-rtl,-,Coupe de Belgique,-,-, Voetbal,Sport,-
09-02-2021,22:30,-,club-rtl,-,Coupe de Belgique,-,-, Magazine,Sport,-
09-02-2021,23:30,-,club-rtl,-,Météo Club,-,-, Weerbericht,Nieuws,-
09-02-2021,23:35,-,club-rtl,-,Télé-achat,-,-, Homeshoppingprogramma,Informatief Programma,1
