Date of Movie;Starting Time;Actors;Channel Name;Production Date;Title of Show;Current Episode;Total Episodes;Genre;Series/Movie;Season Number
8/01/2021;1:30;-;een;2021;Journaallus;-;-; Nieuws In Lusvorm;Serie;-
8/01/2021;23:55;-;canvas;2021;Canvaslus;-;-;-;Serie;-
8/01/2021;0:15;-;vier;-;Geen uitzending;-;-;-;Serie;-
8/01/2021;2:45;-;vtm;-;Qmusic;-;-;-;-;-
8/01/2021;6:00;-;vtm;2017;Brandweerman Sam;4;13; Tekenfilm;Jeugdprogramma;11
8/01/2021;6:10;-;vtm;2014;De Proefknuffels;4;30;-;Jeugdprogramma;1
8/01/2021;6:25;-;vtm;2009;TiTaToverfeest;7;250; Jeugdreeks;Jeugdprogramma;1
8/01/2021;6:35;-;vtm;2009;TiTaToverfeest;8;250; Jeugdreeks;Jeugdprogramma;1
8/01/2021;6:55;-;vtm;1998;Kabouter plop;4;60; Kleuterprogramma;Jeugdprogramma;1998
8/01/2021;7:00;-;vtm;2021;EXTRA VTM NIEUWS;3;50;-;Serie;2021
8/01/2021;8:00;-;vtm;2021;EXTRA VTM NIEUWS;4;50;-;Serie;2021
8/01/2021;8:05;-;vier;2014;De sterrenkaart;1;8; Culinair Magazine;Serie;1
8/01/2021;8:40;-;vier;2010;Tot op de Graat;17;40; Culinair Magazine;Serie;1
8/01/2021;9:00;-;een;-;Winterbeelden;-;-;-;Serie;-
8/01/2021;9:00;-;canvas;-;Winterbeelden;-;-;-;Serie;-
8/01/2021;9:35;-;vtm;2019;Loïc: Zot van Koken;38;65; Culinair Magazine;Serie;1
8/01/2021;9:50;-;vtm;2020;Geen uitzending;-;-;-;-;-
8/01/2021;9:00;-;vier;2016;Soep!;6;20; Culinair Magazine;Serie;1
8/01/2021;9:15;-;vier;-;Tweedehands Deluxe;3;-; Reality-show;Serie;1
8/01/2021;10:00;-;een;2020;Radio 2 op één;93;220;-;Serie;2020
8/01/2021;10:00;-;canvas;2021;Ketnet Junior;7;365; Kleuterprogramma;Jeugdprogramma;2021
8/01/2021;10:00;-;vier;-;Geen uitzending;-;-;-;Serie;-
8/01/2021;12:00;-;een;-;Winterbeelden;-;-;-;Serie;-
8/01/2021;12:20;-;een;-;Dagelijkse Kost;2696;240; Culinair Magazine;Serie;11
8/01/2021;12:35;-;een;2020;Blokken;5575;205; Spelshow;Serie;2020
8/01/2021;12:00;-;vtm;2018;Echte Verhalen: De Buurtpolitie;13;70; Reality-show;Serie;10
8/01/2021;12:30;Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove);vtm;2007;Sara;183;199; Romantische Serie;Reeks;1
8/01/2021;12:05;-;vier;2015;Komen Eten;3;-; Culinair Magazine;Serie;14
8/01/2021;12:45;-;vier;-;Geen uitzending;-;-;-;Serie;-
8/01/2021;13:00;-;een;2021;Het journaal;-;-;-;Serie;-
8/01/2021;13:25;-;een;2021;Het weer;-;-; Weerbericht;Nieuws;-
8/01/2021;13:30;-;een;2020;Iedereen beroemd;111;246;-;Reportage;2020
8/01/2021;13:55;Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa);een;2017;Thuis;4386;-; Soap;Reeks;23
8/01/2021;13:00;-;vtm;2021;VTM NIEUWS;-;-;-;Serie;-
8/01/2021;13:45;-;vtm;2021;Het Weer;-;-; Weerbericht;Nieuws;-
8/01/2021;13:50;Martine Jonckheere (Marie-Rose), Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Chris Van Tongelen (Bart);vtm;2014;Familie;209;220; Soap;Reeks;24
8/01/2021;14:20;-;een;-;Dieren in nesten;11;-;-;Reportage;5
8/01/2021;14:45;-;een;2021;Villa Politica Extra;2;72; Praatprogramma Over De Actualiteit;Praatprogramma's;2021
8/01/2021;14:25;Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers);vtm;2004;Wittekerke;4;45; Soap;Reeks;12
8/01/2021;15:25;-;vtm;2016;America's Funniest Home Videos;4;44; Komische Show;Serie;28
8/01/2021;15:35;Kate Walsh (Dr. Addison Forbes Montgomery), Audra McDonald (Dr. Naomi Bennett), Taye Diggs (Dr. Sam Bennett), Tim Daly (Dr. Pete Wilder), Amy Brenneman (Dr. Violet Turner);vtm;2009;Private Practice;8;15; Dramaserie;Reeks;3
8/01/2021;15:50;-;vier;2018;Comfort Food;2;6; Culinair Magazine;Serie;1
8/01/2021;16:20;-;een;2012;Animal Airport;2;13; Realityreeks;Reportage;1
8/01/2021;16:45;Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter);een;2020;Buren;8144;-; Soap;Reeks;2020
8/01/2021;16:25;Tim Allen (Mike Baxter), Nancy Travis (Vanessa Baxter), Amanda Fuller (Kristin Baxter), Christoph Sanders (Kyle Anderson), Molly McCook (Mandy Baxter);vtm;2018;Last Man Standing;4;22; Komische Serie;Reeks;7
8/01/2021;16:45;Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva);vtm;2020;Sturm der Liebe;113;250; Soap;Reeks;16
8/01/2021;16:05;-;vier;2011;Meesterlijke Klassiekers;2;20; Culinair Magazine;Serie;1
8/01/2021;16:35;-;vier;2010;Njamma Mia!;17;40; Culinair Magazine;Serie;1
8/01/2021;16:55;-;vier;2019;Huizenjagers;11;36; Realityreeks;Reportage;5
8/01/2021;17:05;Hubert Damen (commissaris Witse), Viv Van Dingenen (Tine Smets), Daan Hugaert (Romain Van Deun), Marc Stroobants (Rudy Dams), Dirk Tuypens (hoofdcommissaris Peter Wijtinckx);een;2010;Witse;10;13; Misdaadserie;Reeks;8
8/01/2021;17:45;-;vtm;2021;VTM NIEUWS;-;-;-;Serie;-
8/01/2021;17:50;-;vtm;2018;Echte Verhalen: De Buurtpolitie;14;70; Reality-show;Serie;10
8/01/2021;17:45;-;vier;-;Tweedehands Deluxe;4;-; Reality-show;Serie;1
8/01/2021;18:04;-;een;2021;Het journaal;-;-;-;Serie;-
8/01/2021;18:10;-;een;2021;Het weer;-;-; Weerbericht;Nieuws;-
8/01/2021;18:15;-;een;-;Dagelijkse Kost;2697;240; Culinair Magazine;Serie;11
8/01/2021;18:30;-;een;2020;Blokken;5660;205; Quiz;Spelprogramma's;2020
8/01/2021;18:50;-;canvas;2020;Les enfants de la collaboration;1;2;-;Documentaire;1
8/01/2021;18:25;Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove);vtm;2007;Sara;184;199; Romantische Serie;Reeks;1
8/01/2021;18:45;-;vier;2015;Komen Eten;4;-; Culinair Magazine;Serie;14
8/01/2021;19:00;-;een;2021;Het journaal;-;-;-;Serie;-
8/01/2021;19:50;-;een;2020;Iedereen beroemd;112;246;-;Reportage;2020
8/01/2021;19:40;De Toots Sessies worden afwisselend gehost door Th, Isolde Lasoen, Eva De Roo;canvas;2021;De Toots Sessies;4;30; Cultuurmagazine;Serie;2
8/01/2021;19:00;-;vtm;2021;VTM NIEUWS;-;-;-;Serie;-
8/01/2021;19:55;-;vtm;2021;Het Weer;-;-; Weerbericht;Nieuws;-
8/01/2021;19:35;-;vier;2019;Huizenjagers;12;36; Realityreeks;Reportage;5
8/01/2021;20:15;-;een;2021;Het weer;-;-; Weerbericht;Nieuws;-
8/01/2021;20:20;Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa);een;-;Thuis;4929;205; Soap;Reeks;26
8/01/2021;20:45;-;een;2020;Geubels en de Hollanders;9;9;-;Show;1
8/01/2021;20:00;-;canvas;2021;Terzake;-;-; Nieuws En Duiding;Serie;-
8/01/2021;20:35;-;canvas;2021;De afspraak;4;170; Praatprogramma Over De Actualiteit;Praatprogramma's;2021
8/01/2021;20:05;Kürt Rogiers (Lars), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Jef De Smedt (Jan);vtm;2020;Familie;99;220; Soap;Reeks;30
8/01/2021;20:40;-;vtm;2020;Wat een Jaar!;1;10; Spelshow;Serie;3
8/01/2021;20:35;-;vier;2021;De Verhulstjes;1;-; Realityreeks;Reportage;1
8/01/2021;21:20;-;een;2020;First Dates;27;-; Datingprogramma;Show;1
8/01/2021;21:20;-;canvas;2021;De weekenden;2;10;-;Documentaire;2
8/01/2021;21:50;-;vtm;2018;Helden van Hier: Door het Vuur;3;12;-;Serie;4
8/01/2021;21:30;-;vier;2021;Big Brother Live;4;-; Reality-show;Serie;1
8/01/2021;22:05;Clara Cleymans (Els), Rik Verheye (Alex);een;2021;We moeten eens praten;4;4; Komische Serie;Reeks;1
8/01/2021;22:40;-;een;2021;Het journaal;-;-;-;Serie;-
8/01/2021;22:55;-;een;2021;Het weer;-;-; Weerbericht;Nieuws;-
8/01/2021;22:15;-;canvas;2020;Hi My Name Is Jonny Polonsky;-;-;-;Documentaire;-
8/01/2021;22:50;Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove);vtm;2007;Sara;184;199; Romantische Serie;Reeks;1
8/01/2021;22:55;-;vier;2018;'t Is gebeurd;1;-; Komische Show;Serie;4
8/01/2021;23:00;Eugene Levy (Johnny Rose), Catherine O'Hara (Moira Rose), Dan Levy (David Rose), Annie Murphy (Alexis), Emily Hampshire (Stevie Budd);een;2015;Schitt's Creek;4;13; Komische Serie;Reeks;1
8/01/2021;23:20;De Toots Sessies worden afwisselend gehost door Th, Isolde Lasoen, Eva De Roo;een;2021;De Toots Sessies;4;30; Cultuurmagazine;Serie;2
8/01/2021;23:38;-;een;2021;Keno;7;365;-;Informatief Programma;2021
8/01/2021;23:40;-;een;2020;Iedereen beroemd;112;246;-;Reportage;2020
8/01/2021;23:25;-;canvas;2020;Winteruur;37;75;-;Praatprogramma's;6
