Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
25-01-2021,01:40,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
25-01-2021,23:20,-,canvas,2021,Canvaslus,-,-,-,Serie,-
25-01-2021,05:50,-,vtm,2017,Brandweerman Sam,3,13, Tekenfilm,Jeugdprogramma,11
25-01-2021,02:35,-,vier,-,Geen uitzending,-,-,-,Serie,-
25-01-2021,06:00,-,vtm,2014,De Proefknuffels,16,30,-,Jeugdprogramma,1
25-01-2021,06:10,-,vtm,2009,TiTaToverfeest,31,250, Jeugdreeks,Jeugdprogramma,1
25-01-2021,06:25,-,vtm,2009,TiTaToverfeest,32,250, Jeugdreeks,Jeugdprogramma,1
25-01-2021,06:35,-,vtm,1998,Kabouter plop,16,60, Kleuterprogramma,Jeugdprogramma,1998
25-01-2021,06:45,-,vtm,2016,De Avonturen van de Gelaarsde Kat,16,26, Tekenfilm,Jeugdprogramma,2
25-01-2021,07:05,-,vtm,2015,Lang Leve Koning Julien,16,26, Tekenfilm,Jeugdprogramma,2
25-01-2021,07:25,"Bab Buelens (Sofie Verlinden), Stijn Steyaert (Kamiel Mertens), Charlotte Timmers (Lara Van Acker), Arthur le Boudec (Lander Depoortere), Rick Mackenbach (Oscar Blommesteyn)",vtm,2012,Skilz,16,26,-,Jeugdprogramma,2
25-01-2021,07:40,-,vtm,2017,De Buurtpolitie - Extra,64,75, Reality-show,Serie,1
25-01-2021,07:55,-,vtm,2017,De Buurtpolitie - Extra,65,75, Reality-show,Serie,1
25-01-2021,07:45,-,vier,2017,"De Chalet, 3 chefs, een feest",8,-, Culinair Magazine,Serie,1
25-01-2021,08:15,-,vtm,2019,Wakandy,16,28,-,Show,2
25-01-2021,08:30,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,16,48, Tekenfilm,Jeugdprogramma,21
25-01-2021,08:50,-,vtm,2016,Draken: Race Naar de Rand,3,13, Tekenfilm,Jeugdprogramma,2
25-01-2021,08:30,-,vier,2013,Toasted!,9,10, Culinair Magazine,Serie,1
25-01-2021,08:55,-,vier,2014,Tweedehands deluxe,5,3, Reality-show,Serie,2
25-01-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
25-01-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
25-01-2021,09:10,-,vtm,2020,Lego Ninjago,31,32, Tekenfilm,Jeugdprogramma,2
25-01-2021,09:20,-,vtm,2020,Lego Ninjago,32,32, Tekenfilm,Jeugdprogramma,2
25-01-2021,09:30,-,vtm,2019,Loïc: Zot van Koken,50,65, Culinair Magazine,Serie,1
25-01-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
25-01-2021,09:40,-,vier,-,Geen uitzending,-,-,-,Serie,-
25-01-2021,10:00,-,een,2020,Radio 2 op één,105,220,-,Serie,2020
25-01-2021,10:00,-,canvas,2021,Ketnet Junior,25,365, Kleuterprogramma,Jeugdprogramma,2021
25-01-2021,11:50,"Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove)",vtm,2007,Sara,195,199, Romantische Serie,Reeks,1
25-01-2021,11:40,-,vier,2020,Sports Late Night,-,-, Voetbal,Sport,-
25-01-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
25-01-2021,12:20,-,een,-,Dagelijkse Kost,2710,240, Culinair Magazine,Serie,11
25-01-2021,12:35,-,een,2020,Blokken,5587,205, Spelshow,Serie,2020
25-01-2021,12:20,"Veerle Baetens (Sara De Roose), Gert Winckelmans (Simon Van Wijck), Lotte Pinoy (Helena de Lannoy), Kurt Rogiers (Alexander de Lannoy), Sandrine André (Britt Van Hove)",vtm,2007,Sara,196,199, Romantische Serie,Reeks,1
25-01-2021,12:35,-,vier,-,Geen uitzending,-,-,-,Serie,-
25-01-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
25-01-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
25-01-2021,13:30,-,een,2020,Iedereen beroemd,125,246,-,Reportage,2020
