Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
07-04-2021,23:05,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
07-04-2021,00:15,-,canvas,2021,Canvaslus,-,-,-,Serie,-
07-04-2021,05:45,-,vtm,2018,Polly Pocket,3,26, Animatie,Jeugdprogramma,1
07-04-2021,06:05,-,vtm,1999,Kabouter plop,53,60, Kleuterprogramma,Jeugdprogramma,1999
07-04-2021,06:10,-,vtm,2009,TiTaToverfeest,133,250, Jeugd,Jeugdprogramma,1
07-04-2021,06:25,-,vtm,2016,The Mr. Peabody & Sherman Show,3,26, Animatie,Jeugdprogramma,2
07-04-2021,06:50,-,vtm,2018,Wakandy,3,40,-,Show,1
07-04-2021,07:00,-,vtm,2020,Lego Ninjago,3,32, Animatie,Jeugdprogramma,2
07-04-2021,07:10,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,35,48, Animatie,Jeugdprogramma,21
07-04-2021,07:35,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,36,48, Animatie,Jeugdprogramma,21
07-04-2021,07:55,-,vtm,2017,De Buurtpolitie - Extra,69,75, Reality,Show,1
07-04-2021,08:10,-,vtm,2017,De Buurtpolitie - Extra,70,75, Reality,Show,1
07-04-2021,08:25,-,vtm,2015,Lang Leve Koning Julien,3,26, Animatie,Jeugdprogramma,2
07-04-2021,08:45,-,vtm,2015,Het Middelbaar,5,71, Jeugd,Jeugdprogramma,3
07-04-2021,08:55,-,vtm,2015,Het Middelbaar,6,71, Jeugd,Jeugdprogramma,3
07-04-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
07-04-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
07-04-2021,09:10,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,3,12, Sitcom,Reeks,2
07-04-2021,09:35,-,vtm,2020,Loïc: Zot van Koken,38,95, Culinair Magazine,Serie,2
07-04-2021,09:50,-,vtm,2020,Geen uitzending,-,-,-,-,-
07-04-2021,10:00,-,een,2020,Radio 2 op één,157,220,-,Serie,2020
07-04-2021,10:00,-,canvas,2021,Ketnet Junior,97,365, Kleuterprogramma,Jeugdprogramma,2021
07-04-2021,11:55,-,vtm,2019,Echte Verhalen: De Buurtpolitie,7,40, Reality,Show,11
07-04-2021,12:00,-,een,-,Lentebeelden,-,-,-,Serie,-
07-04-2021,12:20,-,een,-,Dagelijkse Kost,2773,240, Culinair Magazine,Serie,11
07-04-2021,12:35,-,een,2020,Blokken,5639,205, Quiz,Spelprogramma,2020
07-04-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,51,205, Romantische Serie,Reeks,1
