Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
26-05-2021,00:15,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
26-05-2021,00:05,-,canvas,2021,Canvaslus,-,-,-,Serie,-
26-05-2021,05:55,-,vtm,2009,TiTaToverfeest,183,250, Jeugd,Jeugdprogramma,1
26-05-2021,06:10,-,vtm,2009,TiTaToverfeest,184,250, Jeugd,Jeugdprogramma,1
26-05-2021,06:20,-,vtm,1998,Kabouter plop,34,107, Kleuterprogramma,Jeugdprogramma,1998
26-05-2021,06:25,-,vtm,1998,Kabouter plop,35,60, Kleuterprogramma,Jeugdprogramma,1998
26-05-2021,06:35,-,vtm,2017,Trolls: The Beat Goes On!,2,26, Animatie,Jeugdprogramma,1
26-05-2021,06:55,-,vtm,2020,Lego Ninjago,6,32, Animatie,Jeugdprogramma,2
26-05-2021,07:10,-,vtm,2015,Lang Leve Koning Julien,18,26, Animatie,Jeugdprogramma,2
26-05-2021,07:35,-,vtm,2017,Tarzan en Jane,2,8, Animatie,Jeugdprogramma,1
26-05-2021,07:55,-,vtm,2017,De Buurtpolitie - Extra,40,75, Reality,Show,1
26-05-2021,08:10,-,vtm,2017,De Buurtpolitie - Extra,41,75, Reality,Show,1
26-05-2021,08:25,-,vtm,2016,Het Middelbaar,4,81, Jeugd,Jeugdprogramma,4
26-05-2021,08:35,-,vtm,2016,Het Middelbaar,5,81, Jeugd,Jeugdprogramma,4
26-05-2021,08:45,-,vtm,2015,Dawn of the Croods,2,26, Animatie,Jeugdprogramma,1
26-05-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
26-05-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
26-05-2021,09:10,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,12,13, Sitcom,Reeks,1
26-05-2021,09:30,-,vtm,2020,Loïc: Zot van Koken,73,95, Culinair Magazine,Serie,2
26-05-2021,09:45,-,vtm,2020,Geen uitzending,-,-,-,-,-
26-05-2021,10:00,-,een,2020,Radio 2 op één,192,220,-,Serie,2020
26-05-2021,10:00,-,canvas,2021,Ketnet Junior,146,365, Kleuterprogramma,Jeugdprogramma,2021
26-05-2021,11:50,-,vtm,2019,Echte Verhalen: De Buurtpolitie,1,65, Reality,Show,12
26-05-2021,12:00,-,een,-,Lentebeelden,-,-,-,Serie,-
26-05-2021,12:20,-,een,-,Dagelijkse Kost,2815,240, Culinair Magazine,Serie,11
26-05-2021,12:35,-,een,2020,Blokken,5674,205, Quiz,Spelprogramma,2020
26-05-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,85,205, Romantische Serie,Reeks,1
