Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
23-02-2021,23:15,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
23-02-2021,00:11,-,canvas,2021,Canvaslus,-,-,-,Serie,-
23-02-2021,01:30,-,vtm,-,Qmusic,-,-,-,-,-
23-02-2021,05:00,-,vier,-,Geen uitzending,-,-,-,Serie,-
23-02-2021,06:05,-,vtm,2016,Thomas de Trein,2,26, Animatie,Jeugdprogramma,20
23-02-2021,06:15,-,vtm,2014,Percy de Tijger,2,26, Animatie,Jeugdprogramma,1
23-02-2021,06:25,-,vtm,2009,TiTaToverfeest,73,250, Jeugd,Jeugdprogramma,1
23-02-2021,06:40,-,vtm,2009,TiTaToverfeest,74,250, Jeugd,Jeugdprogramma,1
23-02-2021,06:55,-,vtm,1998,Kabouter plop,37,60, Kleuterprogramma,Jeugdprogramma,1998
23-02-2021,07:00,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,2,48, Animatie,Jeugdprogramma,21
23-02-2021,07:20,-,vtm,2020,Lego Ninjago,3,32, Animatie,Jeugdprogramma,2
23-02-2021,07:30,-,vtm,2020,Lego Ninjago,4,32, Animatie,Jeugdprogramma,2
23-02-2021,07:45,-,vtm,2017,De Buurtpolitie - Extra,7,75, Reality,Show,1
23-02-2021,07:55,-,vtm,2017,De Buurtpolitie - Extra,8,75, Reality,Show,1
23-02-2021,07:40,-,vier,2010,Roger van Damme: Desserts,26,30, Culinair Magazine,Serie,1
23-02-2021,08:10,-,vtm,2019,VLOGLAB Secrets #Stories,2,13, Jeugd,Jeugdprogramma,1
23-02-2021,08:30,-,vtm,2015,Lang Leve Koning Julien,2,26, Animatie,Jeugdprogramma,2
23-02-2021,08:50,-,vtm,2016,Draken: Race Naar de Rand,2,26, Animatie,Jeugdprogramma,2
23-02-2021,08:00,-,vier,2017,De gezonde goesting,1,-, Culinair Magazine,Serie,2
23-02-2021,08:25,-,vier,2012,Fingerfood,2,5, Culinair Magazine,Serie,1
23-02-2021,08:45,-,vier,2020,The Block Australia,40,50,-,Spelprogramma's,16
23-02-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
23-02-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
23-02-2021,09:15,-,vtm,2019,Wakandy,3,28,-,Show,2
23-02-2021,09:25,-,vtm,2019,Wakandy,4,28,-,Show,2
23-02-2021,09:40,-,vtm,2020,Loïc: Zot van Koken,6,95, Culinair Magazine,Serie,2
23-02-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
23-02-2021,09:55,-,vier,-,Geen uitzending,-,-,-,Serie,-
23-02-2021,10:00,-,een,2020,Radio 2 op één,126,220,-,Serie,2020
23-02-2021,10:00,-,canvas,2021,Ketnet Junior,54,365, Kleuterprogramma,Jeugdprogramma,2021
23-02-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
23-02-2021,12:20,-,een,-,Dagelijkse Kost,2736,240, Culinair Magazine,Serie,11
23-02-2021,12:35,-,een,2020,Blokken,5608,205, Spelshow,Serie,2020
23-02-2021,12:00,-,vtm,2018,Echte Verhalen: De Buurtpolitie,46,70, Reality,Show,10
23-02-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,21,205, Romantische Serie,Reeks,1
23-02-2021,12:00,-,vier,2015,Komen eten,29,-, Culinair Magazine,Serie,14
23-02-2021,12:40,-,vier,-,Geen uitzending,-,-,-,Serie,-
23-02-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
23-02-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
23-02-2021,13:30,-,een,2020,Iedereen beroemd,151,246,-,Reportage,2020
23-02-2021,13:55,-,een,2021,Extra time,7,21, Sportmagazine,Serie,2021
23-02-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
23-02-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
23-02-2021,13:35,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,22,223, Soap,Reeks,25
23-02-2021,14:15,"Greet Rouffaer (Nellie), Marc Coessens (Frank), Arnold Willems (Georges), Peter Bulckaen (Max), Kürt Rogiers (Sneyers)",vtm,2004,Wittekerke,36,88, Soap,Reeks,12
23-02-2021,15:00,-,een,-,Clips,1,-, Muziekclips,Serie,1
23-02-2021,15:15,"Mark Williams (Father Brown), Laura Main (Dorothy Underwood), Tom Chambers (Inspector Sullivan)",een,2014,Father Brown,8,10, Misdaadserie,Reeks,2
23-02-2021,15:20,"Kate Walsh (Addison Forbes Montgomery), Audra McDonald (Naomi Bennett), Taye Diggs (Sam Bennett), Tim Daly (Pete Wilder), Amy Brenneman (Violet Turner)",vtm,2010,Private Practice,18,22, Dramaserie,Reeks,4
23-02-2021,15:45,-,vier,2016,DIY (Do It Yourself),9,-, Culinair Magazine,Serie,1
23-02-2021,16:00,Xavier Ziomek,een,2020,Les Gardiens de l'Antarctique,1,3,-,Documentaire,1
23-02-2021,16:50,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8174,-, Soap,Reeks,2020
23-02-2021,16:20,"Tim Allen (Mike Baxter), Nancy Travis (Vanessa Baxter), Hector Elizondo (Ed Alzate), Christoph Sanders (Kyle Anderson), Amanda Fuller (Kristin Baxter)",vtm,2020,Last Man Standing,2,21, Komische Serie,Reeks,8
23-02-2021,16:45,"Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva)",vtm,2020,Sturm der Liebe,145,250, Soap,Reeks,16
23-02-2021,16:15,-,vier,2018,Likoké On Tour,2,5, Culinair Magazine,Serie,1
23-02-2021,16:30,-,vier,2013,De Wereld op je Bord,9,21, Culinair Magazine,Serie,1
23-02-2021,16:55,-,vier,2021,Dag dokter,13,-, Docusoap,Documentaire,1
23-02-2021,17:10,"Gene Bervoets (Peter), Huub Stapel (Dirk), Andrea Croonenberghs (Anne), Warre Borgmans (JL Hubert), Ann Ceurvels (Claudia)",een,1997,Windkracht 10,23,23, Dramaserie,Reeks,1
23-02-2021,17:45,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
23-02-2021,17:50,-,vtm,2018,Echte Verhalen: De Buurtpolitie,47,70, Reality,Show,10
23-02-2021,17:40,-,vier,2021,Stukken Van Mensen,4,-, Realityreeks,Reportage,6
23-02-2021,18:04,-,een,2021,Het journaal,-,-,-,Serie,-
23-02-2021,18:10,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
23-02-2021,18:15,-,een,-,Dagelijkse Kost,2737,240, Culinair Magazine,Serie,11
23-02-2021,18:30,-,een,2020,Blokken,5693,205, Quiz,Spelprogramma's,2020
23-02-2021,18:20,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,22,205, Romantische Serie,Reeks,1
23-02-2021,18:50,-,vier,2015,Komen eten,30,-, Culinair Magazine,Serie,14
23-02-2021,19:00,-,een,2021,Het journaal,-,-,-,Serie,-
23-02-2021,19:40,-,een,2020,Iedereen beroemd,152,246,-,Reportage,2020
23-02-2021,19:10,"Ruth Beeckmans (Evi), Dominique Van Malder (Raf), Benny Claessens (Geoffrey), Marjan De Schutter (Indina), Tom Ternest (Bart)",canvas,2020,Albatros,2,8, Dramaserie,Reeks,1
23-02-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
23-02-2021,19:55,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
23-02-2021,19:45,-,vier,2021,Dag dokter,14,-, Soap,Documentaire,1
23-02-2021,20:05,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
23-02-2021,20:10,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,-,Thuis,4962,205, Soap,Reeks,26
23-02-2021,20:35,-,een,2020,Het hoge noorden,9,10, Realityreeks,Reportage,1
23-02-2021,20:00,-,canvas,2021,Terzake,-,-, Nieuws En Duiding,Serie,-
23-02-2021,20:35,-,canvas,2021,De afspraak,28,170, Praatprogramma Over De Actualiteit,Praatprogramma's,2021
23-02-2021,20:05,"Kürt Rogiers (Lars), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Jef De Smedt (Jan)",vtm,2020,Familie,132,220, Soap,Reeks,30
23-02-2021,20:40,-,vtm,2021,Later Als Ik Groot Ben,2,8, Reality,Show,1
23-02-2021,20:30,-,vier,2021,UEFA Champions League,-,-, Voetbal,Sport,-
23-02-2021,21:25,-,een,2021,Waar is Mark?,2,3,-,Documentaire,1
23-02-2021,21:20,Nicolas Brown,canvas,2018,The Serengeti rules,-,-, Natuurmagazine,Serie,2018
23-02-2021,21:40,-,vtm,2019,Wetsdokters,7,8, Realityreeks,Reportage,1
23-02-2021,22:00,-,een,2021,Het journaal,-,-,-,Serie,-
23-02-2021,22:15,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
23-02-2021,22:20,"Eugene Levy (Johnny Rose), Catherine O'Hara (Moira Rose), Dan Levy (David Rose), Annie Murphy (Alexis Rose), Emily Hampshire (Stevie Budd)",een,2017,Schitt's Creek,4,13, Komische Serie,Reeks,3
23-02-2021,22:42,-,een,2021,Keno,54,365,-,Informatief Programma,2021
23-02-2021,22:43,-,een,2021,Euromillions,16,105,-,Informatief Programma,2021
23-02-2021,22:50,-,een,2020,Iedereen beroemd,152,246,-,Reportage,2020
23-02-2021,22:10,-,canvas,2021,De ideale wereld,13,32, Actualiteitenmagazine,Serie,2021
23-02-2021,22:55,-,canvas,2020,Winteruur,61,75,-,Praatprogramma's,6
23-02-2021,22:40,-,vtm,2010,Benidorm Bastards,11,11, Komische Show,Serie,1
23-02-2021,23:10,-,een,-,Dagelijkse Kost,2737,240, Culinair Magazine,Serie,11
23-02-2021,23:25,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
23-02-2021,23:10,-,canvas,2020,Enslaved with Samuel L Jackson,1,4,-,Documentaire,1
23-02-2021,23:05,"Kate Walsh (Addison Forbes Montgomery), Audra McDonald (Naomi Bennett), Taye Diggs (Sam Bennett), Tim Daly (Pete Wilder), Amy Brenneman (Violet Turner)",vtm,2010,Private Practice,18,22, Dramaserie,Reeks,4
