Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
10-03-2021,23:30,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
10-03-2021,00:15,-,canvas,2021,Canvaslus,-,-,-,Serie,-
10-03-2021,05:55,-,vtm,2016,Thomas de Trein,13,26, Animatie,Jeugdprogramma,20
10-03-2021,06:05,-,vtm,2014,Percy de Tijger,13,26, Animatie,Jeugdprogramma,1
10-03-2021,06:15,-,vtm,2009,TiTaToverfeest,95,250, Jeugd,Jeugdprogramma,1
10-03-2021,06:30,-,vtm,2009,TiTaToverfeest,96,250, Jeugd,Jeugdprogramma,1
10-03-2021,06:45,-,vtm,1998,Kabouter plop,48,107, Kleuterprogramma,Jeugdprogramma,1998
10-03-2021,06:50,-,vtm,2018,Pokémon: Zon & Maan Ultra-Avonturen,13,48, Animatie,Jeugdprogramma,21
10-03-2021,07:10,-,vtm,2020,Lego Ninjago,25,32, Animatie,Jeugdprogramma,2
10-03-2021,07:20,-,vtm,2020,Lego Ninjago,26,32, Animatie,Jeugdprogramma,2
10-03-2021,07:30,"Jacques Vermeire, Josje Huisman, Kristel Verbeke, Karen Damen",vtm,2010,Hallo K3,3,13, Sitcom,Reeks,1
10-03-2021,07:55,-,vtm,2019,VLOGLAB Secrets #Stories,13,13, Jeugd,Jeugdprogramma,1
10-03-2021,08:20,-,vtm,2017,De Buurtpolitie - Extra,29,75, Reality,Show,1
10-03-2021,08:35,-,vtm,2017,De Buurtpolitie - Extra,30,75, Reality,Show,1
10-03-2021,08:45,-,vtm,2016,Draken: Race Naar de Rand,13,26, Animatie,Jeugdprogramma,2
10-03-2021,09:00,-,een,-,Winterbeelden,-,-,-,Serie,-
10-03-2021,09:00,-,canvas,-,Winterbeelden,-,-,-,Serie,-
10-03-2021,09:10,-,vtm,2019,Wakandy,25,28,-,Show,2
10-03-2021,09:20,-,vtm,2019,Wakandy,26,28,-,Show,2
10-03-2021,09:35,-,vtm,2020,Loïc: Zot van Koken,17,95, Culinair Magazine,Serie,2
10-03-2021,09:55,-,vtm,2020,Geen uitzending,-,-,-,-,-
10-03-2021,10:00,-,een,2020,Radio 2 op één,137,220,-,Serie,2020
10-03-2021,10:00,-,canvas,2021,Ketnet Junior,69,365, Kleuterprogramma,Jeugdprogramma,2021
10-03-2021,11:55,-,vtm,2018,Echte Verhalen: De Buurtpolitie,57,70, Reality,Show,10
10-03-2021,12:00,-,een,-,Winterbeelden,-,-,-,Serie,-
10-03-2021,12:20,-,een,-,Dagelijkse Kost,2749,240, Culinair Magazine,Serie,11
