Date of Movie,Starting Time,Actors,Channel Name,Production Date,Title of Show,Current Episode,Total Episodes,Genre,Series/Movie,Season Number
08-06-2021,00:20,-,een,2021,Journaallus,-,-, Nieuws In Lusvorm,Serie,-
08-06-2021,00:05,-,canvas,2021,Canvaslus,-,-,-,Serie,-
08-06-2021,05:55,-,vtm,2014,De Proefknuffels,7,30,-,Jeugdprogramma,1
08-06-2021,06:05,-,vtm,2009,TiTaToverfeest,201,250, Jeugd,Jeugdprogramma,1
08-06-2021,06:20,-,vtm,1998,Kabouter plop,52,60, Kleuterprogramma,Jeugdprogramma,1998
08-06-2021,06:25,-,vtm,1998,Kabouter plop,53,60, Kleuterprogramma,Jeugdprogramma,1998
08-06-2021,06:30,-,vtm,2018,Trolls: The Beat Goes On!,11,26, Animatie,Jeugdprogramma,1
08-06-2021,06:50,-,vtm,2020,Lego Ninjago,15,32, Animatie,Jeugdprogramma,2
08-06-2021,07:05,-,vtm,2016,Lang Leve Koning Julien,1,26, Animatie,Jeugdprogramma,3
08-06-2021,07:25,-,vtm,2018,Tarzan en Jane,3,5, Animatie,Jeugdprogramma,2
08-06-2021,07:45,-,vtm,2017,De Buurtpolitie - Extra,58,75, Reality,Show,1
08-06-2021,08:00,-,vtm,2017,De Buurtpolitie - Extra,59,75, Reality,Show,1
08-06-2021,08:15,-,vtm,2016,Het Middelbaar,22,81, Jeugd,Jeugdprogramma,4
08-06-2021,08:25,-,vtm,2016,Het Middelbaar,23,81, Jeugd,Jeugdprogramma,4
08-06-2021,08:35,-,vtm,2015,Dawn of the Croods,11,26, Animatie,Jeugdprogramma,1
08-06-2021,09:00,-,een,-,Lentebeelden,-,-,-,Serie,-
08-06-2021,09:00,-,canvas,-,Lentebeelden,-,-,-,Serie,-
08-06-2021,09:00,"Kristel Verbeke, Karen Damen, Josje Huisman, Winston Post (Bas), Jacques Vermeire (Marcel)",vtm,2011,Hallo K3,8,12, Sitcom,Reeks,2
08-06-2021,09:25,-,vtm,2020,Loïc: Zot van Koken,82,95, Culinair Magazine,Serie,2
08-06-2021,09:45,-,vtm,2020,Geen uitzending,-,-,-,-,-
08-06-2021,10:00,-,een,2020,Radio 2 op één,201,220,-,Serie,2020
08-06-2021,10:00,-,canvas,2021,Ketnet Junior,159,365, Kleuterprogramma,Jeugdprogramma,2021
08-06-2021,11:50,-,vtm,2019,Echte Verhalen: De Buurtpolitie,10,65, Reality,Show,12
08-06-2021,12:00,-,een,-,Lentebeelden,-,-,-,Serie,-
08-06-2021,12:20,-,een,-,Dagelijkse Kost,2826,240, Culinair Magazine,Serie,11
08-06-2021,12:35,-,een,2020,Blokken,5683,205, Quiz,Spelprogramma,2020
08-06-2021,12:25,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,93,205, Romantische Serie,Reeks,1
08-06-2021,13:00,-,een,2021,Het journaal,-,-,-,Serie,-
08-06-2021,13:25,-,een,2021,Het weer,-,-, Weerbericht,Nieuws,-
08-06-2021,13:30,-,een,2020,Iedereen beroemd,241,246,-,Reportage,2020
08-06-2021,13:55,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Monika Van Lierde (Ann), Annick Segal (Rosa)",een,2019,Thuis,4458,-, Soap,Reeks,24
08-06-2021,13:00,-,vtm,2021,VTM NIEUWS,-,-,-,Serie,-
08-06-2021,13:30,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
08-06-2021,13:40,"Caroline Maes (Mieke), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Gunter De Batselier (Peter)",vtm,2015,Familie,97,223, Soap,Reeks,25
08-06-2021,14:20,-,een,-,Clips,1,-, Muziekclips,Serie,1
08-06-2021,14:25,-,een,-,Dieren in nesten,8,24, Natuurmagazine,Serie,1
08-06-2021,14:45,"Yannick Bisson (William Murdoch), Thomas Craig (Thomas Brackenreid), Helene Joy (Julia Ogden), Jonny Harris (George Crabtree)",een,2014,Murdoch Mysteries,4,18, Misdaadserie,Reeks,8
08-06-2021,14:25,"Stan Van Samang (Kevin), Peter Bulckaen (Max), Sandrine André (Merel), Ron Cornet (Jean-Paul Derdeyn), Hilde Gijsbrechts (Elke)",vtm,2005,Wittekerke,23,82, Soap,Reeks,13
08-06-2021,15:30,Pete Lawrence,een,2018,Nigel Slater's Middle East,3,3, Culinair Magazine,Serie,1
08-06-2021,15:35,"Breckin Meyer (Jared Franklin), Mark-Paul Gosselaar (Peter Bash), Malcolm McDowell (Stanton Infeld), Kumail Nanjiani (Pindar Singh), Reed Diamond (Damien Karp)",vtm,2014,Franklin & Bash,6,10, Soap,Reeks,4
08-06-2021,16:20,"Ariel Kaplan (Imogen), Tim Phillipps (Daniel), Stefan Dennis (Paul), Mavournee Hazel (Piper), Tom Oliver (Lou Carpenter)",een,2020,Buren,8241,-, Dramaserie,Reeks,2020
08-06-2021,16:45,"Veerle Dobbelaere (Chris Haagdoorn), Filip Peeters (Hugo Van Eyck), Tuur Deweert (Paul Emile Leducq), Robbie Cleiren (Luc Lievens), Pascale Michiels (Jessy Vinck)",een,2002,Recht op recht,4,13, Dramaserie,Reeks,4
08-06-2021,16:40,"Robert de la Haye (Dirk Velghe), Mireille Leveque (Anneke Wiels), Truus Druyts (Barbara Dufour), Leo Madder (Luc Gijsbrecht), Marilou Mermans (Christiane Van Breda)",vtm,2000,Spoed,37,37, Teamsport,Serie,1
08-06-2021,17:40,-,een,2021,Sporza: Hockey,-,-,-,Serie,-
08-06-2021,17:45,-,vtm,2021,VTM NIEUWS,-,-, Realityreeks,Reportage,-
08-06-2021,17:50,-,vtm,2016,Border Security USA,7,28,-,Serie,1
08-06-2021,18:00,-,een,2021,Het journaal,-,-, Weerbericht,Nieuws,-
08-06-2021,18:10,-,een,2021,Het weer,-,-, Culinair Magazine,Serie,-
08-06-2021,18:15,-,een,-,Dagelijkse Kost,2827,240, Quiz,Spelprogramma,11
08-06-2021,18:30,-,een,2020,Blokken,5768,205, Sportreportage,Serie,2020
08-06-2021,18:50,-,canvas,2021,Het EK van de Duivels,5,6, Reality,Show,1
08-06-2021,18:15,-,vtm,2019,Echte Verhalen: De Buurtpolitie,11,65,-,Serie,12
08-06-2021,19:00,-,een,2021,Het journaal,-,-,-,Reportage,-
08-06-2021,19:40,-,een,2020,Iedereen beroemd,242,246, Sportmagazine,Serie,2020
08-06-2021,19:35,-,canvas,2021,Sporza: Road to UEFA EURO 2020,11,12,-,Serie,1
08-06-2021,19:00,-,vtm,2021,VTM NIEUWS,-,-, Weerbericht,Nieuws,-
08-06-2021,19:55,-,vtm,2021,Het Weer,-,-, Weerbericht,Nieuws,-
08-06-2021,20:05,-,een,2021,Het weer,-,-, Soap,Reeks,-
08-06-2021,20:10,"Pol Goossen (Frank), Marleen Merckx (Simonne), Leah Thys (Marianne), Annick Segal (Rosa), Bart Van Avermaet (Waldek)",een,-,Thuis,5037,205,-,Documentaire,26
08-06-2021,20:35,-,een,2021,Zorgen voor Mama,7,7, Nieuws En Duiding,Serie,1
08-06-2021,20:00,-,canvas,2021,Terzake,-,-, Praatprogramma Over De Actualiteit,Serie,-
08-06-2021,20:35,-,canvas,2021,De afspraak,71,170, Romantische Serie,Reeks,2021
08-06-2021,20:05,"Tinne Oltmans (Lisa), Oscar Willems (Jonas), Anouck Luyten (Katja), Bert Verbeke (Gert), Hilde De Baerdemaeker (Suzanne)",vtm,2021,Lisa,94,205, Soap,Reeks,1
08-06-2021,20:35,"Kürt Rogiers (Lars), Annie Geeraerts (Anna), Ray Verhaeghe (Albert), Sandrine André (Véronique), Jef De Smedt (Jan)",vtm,2020,Familie,207,220, Quiz,Spelprogramma,30
08-06-2021,21:30,-,een,2021,Campus Cup,22,24, Sportreportage,Serie,3
08-06-2021,21:20,-,canvas,2021,Het EK van de Duivels,6,6, Reality,Show,1
08-06-2021,21:10,-,vtm,2019,Met Vier in Bed,2,28,-,Serie,10
08-06-2021,22:15,-,een,2021,Laat journaal,-,-, Weerbericht,Nieuws,-
08-06-2021,22:40,-,een,2021,Het weer,-,-, Sportmagazine,Serie,-
08-06-2021,22:50,-,een,2021,Sporza: Road to UEFA EURO 2020,10,12,-,Documentaire,1
08-06-2021,22:05,-,canvas,2021,Baby Surgeons,3,3, Animatie,Reeks,1
08-06-2021,22:55,"Jos Dom (Boerke), Maaike Cafmeyer (vrouwelijke rollen), Han Coucke (mannelijke rollen)",canvas,2021,Boerke,42,52, Realityreeks,Reportage,1
08-06-2021,22:00,-,vtm,2020,Costa Belgica,1,7,-,Informatief,1
08-06-2021,23:16,-,een,2021,Keno,159,365,-,Informatief,2021
08-06-2021,23:17,-,een,2021,Euromillions,46,105,-,Reportage,2021
08-06-2021,23:20,-,een,2020,Iedereen beroemd,242,246, Culinair Magazine,Serie,2020
08-06-2021,23:42,-,een,-,Dagelijkse Kost,2827,240, Nieuws In Lusvorm,Serie,11
08-06-2021,23:55,-,een,2021,Journaallus,-,-,-,Documentaire,-
08-06-2021,23:00,Gil Rabier,canvas,2021,Les nazis et l'argent: Au coeur du IIIe Reich,2,2,-,Serie,1
08-06-2021,23:50,-,canvas,2021,Canvaslus,-,-, Crimi,Reeks,-
08-06-2021,23:05,"Veerle Baetens (Hannah Maes), Michaël Pas (Bob De Groof), Marc Lauwrys (Charles Ruiters), Gilles De Schryver (Kevin Desmet), Carry Goossens (Robert Maes)",vtm,2009,Code 37,10,13, Dramaserie,Reeks,1
08-06-2021,00:15,"Poppy Montgomery (Cat Chambers), Ray Stevenson (Jake Elliot), Desmond Chiam (Wyatt Cole), Melissa Bonne (Ana DuMont), Rob Collins (Doug O'Casey)",vtm,2019,Reef Break,1,13,-,-,1
08-06-2021,01:10,"Breckin Meyer (Jared Franklin), Mark-Paul Gosselaar (Peter Bash), Malcolm McDowell (Stanton Infeld), Kumail Nanjiani (Pindar Singh), Reed Diamond (Damien Karp)",vtm,2014,Franklin & Bash,6,10,-,-,4
08-06-2021,02:10,-,vtm,-,-,-,-, Animatie,Jeugdprogramma,-
08-06-2021,02:40,-,vtm,-,-,-,-,-,Jeugdprogramma,-
08-06-2021,05:30,-,vtm,2017,Brandweerman Sam,12,13, Jeugd,Jeugdprogramma,11
08-06-2021,05:35,-,vtm,2014,De Proefknuffels,8,30,-,-,1
08-06-2021,05:45,-,vtm,2009,TiTaToverfeest,203,250,-,-,1
08-06-2021,03:15,-,vtm2,2020,Geen uitzending,-,-,-,-,-
08-06-2021,01:25,-,vtm3,2020,Geen uitzending,-,-,-,Spelprogramma,-
08-06-2021,01:25,-,vtm4,2020,Geen uitzending,-,-,-,-,-
08-06-2021,07:05,-,vtm2,2018,My Kitchen Rules,49,51,-,-,9
08-06-2021,08:00,-,vtm2,2020,Geen uitzending,-,-, Reality,Show,-
08-06-2021,10:00,-,vtm2,-,-,-,-,-,-,-
08-06-2021,10:45,-,vtm2,2016,Hell's Kitchen USA,10,16,-,-,15
08-06-2021,11:40,-,vtm2,-,-,-,-, Realityreeks,Reportage,-
08-06-2021,11:10,-,vtm3,-,-,-,-,-,-,-
08-06-2021,12:30,Curtis Stone (Jury),vtm2,2018,Top Chef Jr,14,15, Actieserie,Reeks,2
08-06-2021,12:00,-,vtm3,-,-,-,-, Actieserie,Reeks,-
08-06-2021,12:00,"Renee O'Connor (Gabrielle), Lucy Lawless (Xena)",vtm4,1996,Xena - Warrior Princess,7,22, Reality,Show,2
08-06-2021,12:55,"Renee O'Connor (Gabrielle), Lucy Lawless (Xena)",vtm4,1996,Xena - Warrior Princess,8,22,-,Magazine,2
08-06-2021,13:25,-,vtm2,2019,Bride & Prejudice: The Forbidden Weddings,16,18, Realityreeks,Reportage,3
08-06-2021,13:50,-,vtm4,2017,All New Traffic Cops,2,14, Thriller,Film,6
08-06-2021,14:35,"Laurence Llewelyn-Bowen (Jury), Jamie Durie (Jury), Wendy Moore (Jury)",vtm2,2019,House Rules,11,43, Actieserie,Reeks,7
08-06-2021,14:30,"Chris Johnson (Jared), Jennifer Lafleur (Tracy), Addy Stafford (Ashley), Belmont Cameli (Marcus), Sam Guinan-Nyhart (Phil)",vtm3,2019,My Evil Stepdad,-,-, Reality,Show,-
08-06-2021,14:50,"Renee O'Connor (Gabrielle), Lucy Lawless (Xena)",vtm4,1996,Xena - Warrior Princess,9,22, Komische Serie,Reeks,2
08-06-2021,15:45,-,vtm2,2016,Hell's Kitchen USA,11,16, Soap,Reeks,15
08-06-2021,15:45,"Damon Wayans (Michael Kyle), Tisha Campbell-Martin (Janet Kyle), Jazz Raycole (Claire Kyle), George O Gore II (Junior Kyle), Parker McKenna Posey (Kady Kyle)",vtm4,2003,My Wife and Kids,24,30, Sitcom,Reeks,4
08-06-2021,16:40,"Antje Hagen (Hildegard), Sepp Schauer (Alfons), Joachim Lätsch (André), Dieter Bach (Christoph), Uta Kargel (Eva)",vtm2,2020,Sturm der Liebe,219,250, Sitcom,Reeks,16
08-06-2021,16:15,"Josh Radnor (Ted Mosby), Jason Segal (Marshall Eriksen), Neil Patrick Harris (Barney Stinson), Alyson Hannigan (Lily Aldrin), Cobie Smulders (Robin Scherbatsky)",vtm3,2009,How I Met Your Mother,8,24, Sitcom,Reeks,5
08-06-2021,16:45,"Josh Radnor (Ted Mosby), Jason Segal (Marshall Eriksen), Neil Patrick Harris (Barney Stinson), Alyson Hannigan (Lily Aldrin), Cobie Smulders (Robin Scherbatsky)",vtm3,2009,How I Met Your Mother,9,24, Actieserie,Reeks,5
08-06-2021,16:10,"Fran Drescher (Fran Fine), Charles Shaughnessey (Maxwell Sheffield), Daniel Davis (Niles), Lauren Lane (CC Babcock), Tom Nicholle (Maggie Sheffield)",vtm4,1995,The Nanny,25,27, Soap,Reeks,3
08-06-2021,16:40,"Tia Carrere (Sydney Fox), Christien Anholt (Nigel Bailey), Lindy Booth (Claudia)",vtm4,2001,Relic Hunter,21,22, Sitcom,Reeks,2
08-06-2021,17:45,"Ray Meagher (Alf Stewart), Georgie Parker (Roo Stewart), Ada Nicodemou (Leah Patterson), Emily Symons (Marilyn Chambers), Lynne McGranger (Irene Roberts)",vtm2,2019,Home and Away,191,230, Komische Serie,Reeks,32
08-06-2021,17:10,"Josh Radnor (Ted Mosby), Jason Segal (Marshall Eriksen), Neil Patrick Harris (Barney Stinson), Alyson Hannigan (Lily Aldrin), Cobie Smulders (Robin Scherbatsky)",vtm3,2009,How I Met Your Mother,10,24, Actieserie,Reeks,5
